Fecha,Codigo,Producto,Cantidad,Restante,Venta
28/01/2026,P-05,Suavizante de telas 1L,30,42,1350.0
28/01/2026,P-17,Bolsas para basura 30 piezas,105,15,3675.0
28/01/2026,P-14,Desodorante en barra 50g,23,13,1104.0
28/01/2026,P-09,Papel higienico 4 rollos,88,32,3696.0
28/01/2026,P-11,Jabon en barra 3 piezas,61,35,1647.0
28/01/2026,P-18,Aromatizante en aerosol 300ml,47,49,1927.0
28/01/2026,P-02,Shampoo anticaspa 500ml,76,44,4864.0
28/01/2026,P-08,Servilletas 100 piezas,80,16,1920.0
28/01/2026,P-01,Jabon liquido para manos 1L,21,15,798.0
28/01/2026,P-19,Guantes de limpieza 1 par,0,24,0.0
28/01/2026,P-13,Cepillo dental 2 piezas,57,15,1767.0
28/01/2026,P-04,Detergente en polvo 2kg,39,9,3198.0
28/01/2026,P-10,Toallas de cocina 2 rollos,42,30,1512.0
28/01/2026,P-12,Pasta de dientes 100ml,47,49,1551.0
28/01/2026,P-16,Esponjas para trastes 4 piezas,20,4,360.0
28/01/2026,P-06,Limpiador multiusos 900ml,49,23,1421.0
28/02/2026,P-10,Toallas de cocina 2 rollos,40,32,1440.0
28/02/2026,P-13,Cepillo dental 2 piezas,49,23,1519.0
28/02/2026,P-20,Fibra multiusos 3 piezas,34,38,748.0
28/02/2026,P-14,Desodorante en barra 50g,70,26,3360.0
28/02/2026,P-19,Guantes de limpieza 1 par,0,96,0.0
28/02/2026,P-06,Limpiador multiusos 900ml,70,50,2030.0
28/02/2026,P-07,Cloro 950ml,41,19,779.0
28/02/2026,P-04,Detergente en polvo 2kg,13,11,1066.0
28/02/2026,P-17,Bolsas para basura 30 piezas,44,4,1540.0
28/02/2026,P-03,Acondicionador 500ml,45,27,2655.0
28/02/2026,P-12,Pasta de dientes 100ml,27,33,891.0
28/02/2026,P-05,Suavizante de telas 1L,27,45,1215.0
28/02/2026,P-08,Servilletas 100 piezas,74,46,1776.0
28/02/2026,P-16,Esponjas para trastes 4 piezas,19,5,342.0
28/02/2026,P-11,Jabon en barra 3 piezas,11,13,297.0
28/02/2026,P-01,Jabon liquido para manos 1L,15,9,570.0
28/03/2026,P-09,Papel higienico 4 rollos,94,26,3948.0
28/03/2026,P-17,Bolsas para basura 30 piezas,23,25,805.0
28/03/2026,P-12,Pasta de dientes 100ml,11,13,363.0
28/03/2026,P-02,Shampoo anticaspa 500ml,96,24,6144.0
28/03/2026,P-04,Detergente en polvo 2kg,13,23,1066.0
28/03/2026,P-18,Aromatizante en aerosol 300ml,86,34,3526.0
28/03/2026,P-08,Servilletas 100 piezas,56,64,1344.0
28/03/2026,P-03,Acondicionador 500ml,89,7,5251.0
28/03/2026,P-11,Jabon en barra 3 piezas,17,7,459.0
28/03/2026,P-06,Limpiador multiusos 900ml,83,37,2407.0
28/03/2026,P-05,Suavizante de telas 1L,64,56,2880.0
28/03/2026,P-13,Cepillo dental 2 piezas,19,5,589.0
28/03/2026,P-19,Guantes de limpieza 1 par,0,48,0.0
28/03/2026,P-15,Crema corporal 400ml,40,0,2880.0
